지역명,날짜,매매지수
김제시,2020-05-25 00:00:52,
완주군,2020-05-25 00:00:52,
무주군,2020-05-25 00:00:52,
임실군,2020-05-25 00:00:52,
순창군,2020-05-25 00:00:52,
고창군,2020-05-25 00:00:52,
부안군,2020-05-25 00:00:52,
종로구,2020-06-01 00:00:52,85.49005809
서울 중구,2020-06-01 00:00:52,81.23863193
용산구,2020-06-01 00:00:52,80.57032035
성동구,2020-06-01 00:00:52,80.60309674
광진구,2020-06-01 00:00:52,82.53530407
동대문구,2020-06-01 00:00:52,78.97850397
중랑구,2020-06-01 00:00:52,77.66638631
성북구,2020-06-01 00:00:52,77.14769063
강북구,2020-06-01 00:00:52,74.74251689
도봉구,2020-06-01 00:00:52,73.15990667
노원구,2020-06-01 00:00:52,68.48747488
은평구,2020-06-01 00:00:52,76.86263544
서대문구,2020-06-01 00:00:52,82.06285767
마포구,2020-06-01 00:00:52,78.13234322
양천구,2020-06-01 00:00:52,80.20339042
서울 강서구,2020-06-01 00:00:52,75.32791219
구로구,2020-06-01 00:00:52,75.08345937
금천구,2020-06-01 00:00:52,80.84674778
영등포구,2020-06-01 00:00:52,78.92233943
동작구,2020-06-01 00:00:52,77.58437111
관악구,2020-06-01 00:00:52,80.59491106
서초구,2020-06-01 00:00:52,80.45355284
강남구,2020-06-01 00:00:52,81.44347698
송파구,2020-06-01 00:00:52,78.30288989
강동구,2020-06-01 00:00:52,80.57824946
부산 중구,2020-06-01 00:00:52,97.13688561
부산 서구,2020-06-01 00:00:52,92.47190796
부산 동구,2020-06-01 00:00:52,89.99757525
영도구,2020-06-01 00:00:52,86.25234677
부산진구,2020-06-01 00:00:52,81.34731666
동래구,2020-06-01 00:00:52,79.29740286
부산 남구,2020-06-01 00:00:52,78.22456997
부산 북구,2020-06-01 00:00:52,83.31539223
해운대구,2020-06-01 00:00:52,65.42206259
사하구,2020-06-01 00:00:52,83.00118795
금정구,2020-06-01 00:00:52,80.27786035
부산 강서구,2020-06-01 00:00:52,79.85074627
연제구,2020-06-01 00:00:52,79.91745665
수영구,2020-06-01 00:00:52,74.81591384
사상구,2020-06-01 00:00:52,88.3953999
기장군,2020-06-01 00:00:52,77.37892137
대구 중구,2020-06-01 00:00:52,84.50636571
대구 동구,2020-06-01 00:00:52,88.93543284
대구 서구,2020-06-01 00:00:52,87.0781939
대구 남구,2020-06-01 00:00:52,85.44144376
대구 북구,2020-06-01 00:00:52,88.42008473
수성구,2020-06-01 00:00:52,81.23277762
달서구,2020-06-01 00:00:52,77.78155679
달성군,2020-06-01 00:00:52,88.43701055
인천 중구,2020-06-01 00:00:52,79.33510654
인천 동구,2020-06-01 00:00:52,77.31132214
미추홀구,2020-06-01 00:00:52,80.63379166
연수구,2020-06-01 00:00:52,64.22212705
남동구,2020-06-01 00:00:52,74.36315661
부평구,2020-06-01 00:00:52,71.57769805
계양구,2020-06-01 00:00:52,71.12527528
인천 서구,2020-06-01 00:00:52,71.8634193
강화군,2020-06-01 00:00:52,
광주 동구,2020-06-01 00:00:52,94.90619095
광주 서구,2020-06-01 00:00:52,87.37516576
광주 남구,2020-06-01 00:00:52,85.91706047
광주 북구,2020-06-01 00:00:52,85.15943774
광산구,2020-06-01 00:00:52,80.90710239
대전 동구,2020-06-01 00:00:52,81.88595067
대전 중구,2020-06-01 00:00:52,80.27231032
대전 서구,2020-06-01 00:00:52,75.88896241
유성구,2020-06-01 00:00:52,76.1975954
대덕구,2020-06-01 00:00:52,76.90271217
울산 중구,2020-06-01 00:00:52,83.38637531
울산 남구,2020-06-01 00:00:52,77.66276273
울산 동구,2020-06-01 00:00:52,86.63777783
울산 북구,2020-06-01 00:00:52,82.1149272
울주군,2020-06-01 00:00:52,86.06605682
세종특별자치시,2020-06-01 00:00:52,69.41450234
수원시 장안구,2020-06-01 00:00:52,68.95885788
수원시 권선구,2020-06-01 00:00:52,68.96068052
수원시 팔달구,2020-06-01 00:00:52,73.3115237
수원시 영통구,2020-06-01 00:00:52,68.70343753
성남시 수정구,2020-06-01 00:00:52,76.94382204
성남시 중원구,2020-06-01 00:00:52,76.28895498
성남시 분당구,2020-06-01 00:00:52,76.37410385
의정부시,2020-06-01 00:00:52,67.24880161
안양시 만안구,2020-06-01 00:00:52,76.47413792
안양시 동안구,2020-06-01 00:00:52,70.75351255
부천시,2020-06-01 00:00:52,70.80263343
부천시 원미구,2020-06-01 00:00:52,
부천시 소사구,2020-06-01 00:00:52,
부천시 오정구,2020-06-01 00:00:52,
광명시,2020-06-01 00:00:52,73.60875287
평택시,2020-06-01 00:00:52,71.80261161
동두천시,2020-06-01 00:00:52,72.36455575
안산시 상록구,2020-06-01 00:00:52,71.762369
안산시 단원구,2020-06-01 00:00:52,70.98855947
고양시 덕양구,2020-06-01 00:00:52,64.2102354
고양시 일산동구,2020-06-01 00:00:52,68.65358419
고양시 일산서구,2020-06-01 00:00:52,70.14201049
과천시,2020-06-01 00:00:52,83.48573526
구리시,2020-06-01 00:00:52,75.49058502
남양주시,2020-06-01 00:00:52,66.4406977
오산시,2020-06-01 00:00:52,64.08497165
시흥시,2020-06-01 00:00:52,66.78765388
군포시,2020-06-01 00:00:52,70.34873787
의왕시,2020-06-01 00:00:52,66.88710076
하남시,2020-06-01 00:00:52,78.30557382
용인시 처인구,2020-06-01 00:00:52,73.25653333
용인시 기흥구,2020-06-01 00:00:52,73.11743446
용인시 수지구,2020-06-01 00:00:52,74.15338722
파주시,2020-06-01 00:00:52,74.33517396
이천시,2020-06-01 00:00:52,82.49795439
안성시,2020-06-01 00:00:52,70.85263996
김포시,2020-06-01 00:00:52,69.06242243
화성시,2020-06-01 00:00:52,69.76606783
광주시,2020-06-01 00:00:52,71.95624953
양주시,2020-06-01 00:00:52,74.93953711
포천시,2020-06-01 00:00:52,
여주시,2020-06-01 00:00:52,
연천군,2020-06-01 00:00:52,
가평군,2020-06-01 00:00:52,
양평군,2020-06-01 00:00:52,
청주시 상당구,2020-06-01 00:00:52,83.51839669
청주시 서원구,2020-06-01 00:00:52,81.32957352
청주시 흥덕구,2020-06-01 00:00:52,81.12154786
청주시 청원구,2020-06-01 00:00:52,86.8177124
충주시,2020-06-01 00:00:52,81.15101388
제천시,2020-06-01 00:00:52,83.16232939
보은군,2020-06-01 00:00:52,
옥천군,2020-06-01 00:00:52,
영동군,2020-06-01 00:00:52,
증평군,2020-06-01 00:00:52,
진천군,2020-06-01 00:00:52,
괴산군,2020-06-01 00:00:52,
음성군,2020-06-01 00:00:52,
단양군,2020-06-01 00:00:52,
천안시 동남구,2020-06-01 00:00:52,85.42366296
천안시 서북구,2020-06-01 00:00:52,82.91290448
공주시,2020-06-01 00:00:52,77.97709234
보령시,2020-06-01 00:00:52,
아산시,2020-06-01 00:00:52,80.17191197
서산시,2020-06-01 00:00:52,89.64423263
논산시,2020-06-01 00:00:52,91.86339699
계룡시,2020-06-01 00:00:52,75.42109098
당진시,2020-06-01 00:00:52,99.09009745
금산군,2020-06-01 00:00:52,
부여군,2020-06-01 00:00:52,
서천군,2020-06-01 00:00:52,
청양군,2020-06-01 00:00:52,
홍성군,2020-06-01 00:00:52,
예산군,2020-06-01 00:00:52,
태안군,2020-06-01 00:00:52,
목포시,2020-06-01 00:00:52,100.0297637
여수시,2020-06-01 00:00:52,89.45958528
순천시,2020-06-01 00:00:52,90.94260228
나주시,2020-06-01 00:00:52,
광양시,2020-06-01 00:00:52,93.95817743
담양군,2020-06-01 00:00:52,
곡성군,2020-06-01 00:00:52,
구례군,2020-06-01 00:00:52,
고흥군,2020-06-01 00:00:52,
